,name,rating,review_count,Zip,Median Income,Poverty Rate,Minority Rate,acres
0,Balboa Park,5.0,2105,92103,56876,0.10628673314402694,0.2664276401564537,1089.47645974
1,Jerabek Park,3.0,6,92103,56876,0.10628673314402694,0.2664276401564537,9.6829718
2,Sycamore Canyon Park,4.5,137,92103,56876,0.10628673314402694,0.2664276401564537,7.80051406
3,Waterfront Park,4.5,242,92101,49158,0.22423331328923632,0.41130730146253824,12.69386535
4,Harbor Island Park,4.5,71,92101,49158,0.22423331328923632,0.41130730146253824,2.99421775
5,Embarcadero Marina Park North,4.0,51,92101,49158,0.22423331328923632,0.41130730146253824,8.58861122
6,University Gardens Park,4.0,5,92101,49158,0.22423331328923632,0.41130730146253824,13.32132969
7,Embarcadero Marina Park South,4.0,71,92101,49158,0.22423331328923632,0.41130730146253824,10.62725077
8,Ruocco Park,4.0,18,92101,49158,0.22423331328923632,0.41130730146253824,3.312526
9,Horton Plaza Park,3.0,47,92101,49158,0.22423331328923632,0.41130730146253824,0.45525573
10,Horton Plaza Park,3.0,2,92101,49158,0.22423331328923632,0.41130730146253824,0.45525573
11,La Costa Canyon Park,4.0,16,92101,49158,0.22423331328923632,0.41130730146253824,14.68306206
12,Encinitas Community Park,4.5,60,92116,48793,0.16591768775661958,0.45122300327618564,43.33690098
13,Montezuma Park,4.0,3,92116,48793,0.16591768775661958,0.45122300327618564,1.57339647
14,Silver Terrace Park,4.5,3,92116,48793,0.16591768775661958,0.45122300327618564,1.57891359
15,Centrum Park,3.5,22,92123,70099,0.08096005028086577,0.4852522491743537,2.16294263
16,Palisades Park,4.5,24,92109,64763,0.13883673202043578,0.20258940657613206,6.42997431
17,Palisades Park,4.5,24,92109,64763,0.13883673202043578,0.20258940657613206,5.73066793
18,Silver Wing Park,5.0,4,92109,64763,0.13883673202043578,0.20258940657613206,13.02504773
19,Olive Grove Park,4.0,8,92117,63924,0.10335062774763357,0.37874627101566666,9.17615677
20,Mesa Verde Park,3.5,3,92117,63924,0.10335062774763357,0.37874627101566666,4.68484988
21,Kearny Mesa Park,3.0,4,92111,54060,0.1524052245938197,0.5468769584290788,69.81311787
22,Vista Pacifica Park,4.0,1,92111,54060,0.1524052245938197,0.5468769584290788,6.87237924
23,Mission Bay Park,4.5,276,92110,54303,0.12109584151347492,0.33326345799094415,4108.39715017
24,Heritage Park,4.5,34,92110,54303,0.12109584151347492,0.33326345799094415,10.7329028
25,Heritage Park,4.5,34,92110,54303,0.12109584151347492,0.33326345799094415,1.49744654
26,Edward Tyler Cramer Park,3.0,3,92110,54303,0.12109584151347492,0.33326345799094415,2.10776951
27,Western Hills Park,3.5,22,92110,54303,0.12109584151347492,0.33326345799094415,12.82328963
28,Torrey Hills Park,4.5,18,92130,125850,0.041299125976463937,0.3736825166948266,14.96102936
29,Torrey Meadows Park,5.0,9,92130,125850,0.041299125976463937,0.3736825166948266,5.34626861
30,Solana Ranch Park,5.0,6,92130,125850,0.041299125976463937,0.3736825166948266,5.76164027
31,Highland Ranch Park,4.0,16,92130,125850,0.041299125976463937,0.3736825166948266,4.76257182
